Name,Sites,Headquarters,Website
7-Eleven Inc.,12854,TX,https://7-eleven.com
Alimentation Couche-Tard Inc.,7008,CAN,https://corpo.couche-tard.com
Casey's General Stores Inc.,2470,IA,https://caseys.com
Murphy USA Inc.,1712,AR,https://murphyusa.com
EG America LLC,1682,MA,https://eg-america.com
GPM Investments LLC,1404,VA,https://gpminvestments.com
BP America Inc./Thorntons,1224,IL,https://bp.com
ExtraMile Convenience Stores LLC,1037,CA,https://chevronextramile.com
Wawa Inc.,988,PA,https://wawa.com
QuikTrip Corp.,963,OK,https://quiktrip.com
Kwik Trip,847,WI,https://kwiktrip.com
Sheetz,670,PA,https://sheetz.com
Pilot Co.,641,TN,https://pilotflyingj.com
Love's Travel Stops & Country Stores Inc.,607,OK,https://loves.com
RaceTrac,566,GA,https://racetrac.com
United Pacific/Rocket,503,CA,https://unitedoilco.com
Anabi Oil/Rebel,490,CA,https://anabioil.com
"BW Gas & Convenience Holdings LLC/Yesway, Allsup's",425,TX,https://yesway.com
Sunshine Gasoline Distributors,415,FL,https://sunshinegasoline.com
United Refining Co.,404,PA,https://urc.com
Maverik Inc.,397,UT,https://maverik.com
Kum & Go,393,IA,https://kumandgo.com
Stewart's Shops,357,NY,https://stewartsshops.com
Global Partners LP/Alltown Fresh,353,MA,https://globalp.com
Jacksons Food Stores,315,ID,https://jacksons.com
Bolla Oil Corp.,312,NY,https://bollamarket.com
MAPCO,304,TN,https://mapcorewards.com
"The Cigarette Store Group/Smoker Friendly, et.al.",291,CO,https://smokerfriendly.com
TravelCenters of America LLC,281,OH,https://ta-petro.com
Royal Farms,268,MD,https://royalfarms.com
Giant Eagle Convenience Division/GetGo,263,PA,https://treis-group.com
Applegreen PLC,253,IE,https://applegreenstores.com
CrossAmerica Partners LP,252,PA,https://crossamericapartners.com
Delek U.S. Holdings,250,TN,https://delekus.com
Meijer Gas Stations,230,MI,https://meijer.com
RaceWay,217,GA,https://racewaystores.com
Parkland USA,213,CAN,https://parkland.ca
Par Mar Oil Co.,212,OH,https://parmarstores.com
Cal's Convenience Inc.,209,TX,https://calscstores.com
Refuel Operating Co. LLC,207,SC,https://refuelmarket.com
CEFCO Convenience Stores,201,TX,https://fikesinc.com
Sam's Food Stores,200,CT,https://samsfoodstores.com
G&M Oil Co. Inc.,192,CA,https://gmoc.com
Hy-Vee Inc.,187,IA,https://hy-vee.com
Shell,183,TX,https://shell.us
Terrible's,174,NV,https://terribles.com
United Dairy Farmers,173,OH,https://udfinc.com
Nouria Energy Corp.,172,MA,https://nouriaenergy.com
True North Energy,167,OH,https://truenorthstores.com
Mountain Express Oil,166,GA,https://mountainexpressoil.com
H&S Energy Products LLC,165,CA,https://hnsenergyproducts.com
Tri Star Energy/Twice Daily,162,TN,https://twicedaily.com
Alta Convenience,157,CO,https://altaconvenience.com
K-VA-T Food Stores Convenience Division,150,VA,https://foodcity.com
Blarney Castle Oil,148,MI,https://blarneycastleoil.com
Quality Oil Co.,140,NC,https://qualityoilnc.com
Transit Energy Group,135,AR,https://transitenergy.com
Panjwani Energy,134,TX,
Vintners Distributors/Loop Neighborhood,132,CA,https://loopneighborhood.com
Enmarket,129,GA,https://enmarket.com
Martin & Bayley Inc./Huck's,125,IL,https://hucks.com
GoMart Inc.,122,WV,https://gomart.com
Englefield Oil Co.,120,OH,https://myduchess.com
Gas Land Petroleum,119,NY,
Little General Stores Inc.,115,WV,https://lgstoreswv.com
Quick Track,111,TX,https://quicktrackinc.com
Mirabito Holdings Inc.,109,NY,https://mirabito.com
Sampson-Bladen Oil Co./Han-Dee Hugo's,109,NC,https://sboil.com
Stinker Stores Inc.,108,ID,https://stinker.com
Town Pump Inc.,107,MO,https://townpump.com
Plaid Pantry,106,OR,https://plaidpantry.com
M.M. Fowler Inc./Family Fare,104,NC,https://familyfareconveniencestores.com
Victory Marketing/Sprint Mart,104,MI,https://sprintmart.com
S&S Petroleum,91,WA,https://sspetro.com
Parker Oil Co.,90,VA,https://parkeroilcompany.com
White Oak Station,89,TX,
Atlantis Management Group,88,NY,https://atlantismgmt.com
Newcomb Oil Co./FiveStar,88,KY,https://fivestarfoodmart.com
Toot'n Totum Food Stores,87,TX,https://tootntotum.com
Reid Petroleum Group/Crosby's,84,NY,https://crosbysstores.com
The Spinx Co.,84,SC,https://myspinx.com
CHR Corp./Rutter's,83,PA,https://rutters.com
FKG Oil Co./MotoMart,82,IL,https://mymotomart.com
Midjit Market/Green Valley Grocery,82,NV,https://gvgrocery.com
Family Express Corp.,81,IN,https://familyexpress.com
Southwest Georgia Oil Co. Inc./SunStop,79,GA,https://swgaoil.com
Krist Oil Co.,78,MI,https://kristoil.com
Monfort Cos./7E CO Holdings,78,CO,https://monfortcompanies.com
Johnson Oil Co./ExpressLane,77,IL,https://johnsonoilexpresslane.com
BFS Cos.,76,WV,https://bfscompanies.com
Sunoco LP/Aplus,76,TX,https://sunocolp.com
Campbell Oil Co./BellStores,75,OH,https://bellstores.com
OnCue Marketing LLC,75,OK,https://ww.oncueexpress.com
CPD Energy Corp./Chestnut Market,74,NY,
Good 2 Go Stores LLC,74,ID,https://good2gostores.com
MNS Ltd./ABC Stores,74,HI,https://abcstores.com
Parker Cos.,74,GA,https://parkerskitchen.com
C.N. Brown,73,ME,https://cnbrown.com
The Kent Cos.,73,TX,https://thekentcompanies.com
Weigel's Stores Inc.,73,TN,https://weigels.com
