Name,Sites,Headquarters,Website
Lithia Motors,344,OR,https://lithia.com
Penske Automotive Group Inc.,318,MI,https://penskeautomotive.com
AutoNation Inc.,271,FL,https://autonation.com
Group 1 Automotive Inc.,199,TX,https://group1auto.com
Asbury Automotive Group Inc.,160,GA,https://asburyauto.com
Sonic Automotive Inc.,133,NC,https://sonicautomotive.com
Hendrick Automotive Group,93,NC,https://hendrickauto.com
Garber Management Group,75,MI,https://garberauto.com
Ken Garff Automotive Group,70,UT,https://kengarff.com
Morgan Auto Group,65,FL,https://morganautogroup.com
Serra Automotive Inc.,60,MI,https://serrausa.com
Napleton Automotive Group,53,IL,https://ednapleton.com
Hudson Automotive Group,52,SC,https://hudsonauto.com
Ken Ganley Automotive Group,52,OH,https://kenganleyauto.com
Greenway Automotive,47,FL,https://greenway.com
Herb Chambers Cos.,47,MA,https://herbchambers.com
DARCARS Automotive Group,45,MD,https://darcars.com
Victory Automotive Group,44,MI,https://victoryautomotivegroup.com
McLarty Automotive Group,42,AR,https://mclartyautogroup.com
Ourisman Automotive Group,42,MD,https://ourisman.com
Ed Morse Automotive Group,41,FL,https://edmorse.com
Zeigler Auto Group,40,MI,https://zeigler.com
Premier Automotive,39,LA,https://premierautomotive.com
#1 Cochran Automotive,37,PA,https://cochran.com
Ciocca Automotive,37,PA,https://cioccaautomotive.com
Gee Automotive Cos.,37,WA,https://geeautomotive.com
RML Automotive,36,TX,https://rmlauto.com
Bergstrom Automotive,35,WI,https://bergstromauto.com
Findlay Automotive Group,35,NV,https://findlayauto.com
Fox Motors,35,MI,https://foxmotors.com
LaFontaine Automotive Group,35,MI,https://thefamilydeal.com
Walser Automotive Group,35,MN,https://walser.com
White Family Dealerships,35,OH,https://whitecars.com
Swickard Auto Group,33,NV,https://swickardautogroup.com
Servco Pacific Inc.,31,HI,https://servco.com
Holman Automotive,30,NJ,https://holmanauto.com
Kunes Auto Group,30,WI,https://shopkunes.com
Georgica Auto Holdings,29,PA,https://georgicaautoholdings.com
Keating Auto Group,29,TX,https://keatingauto.com
Island Auto Group,28,NY,https://islandautogroup.com
McGovern Automotive Group,28,MA,https://McGovernAuto.com
Staluppi Auto Group,28,FL,https://atlanticautogroup.net
Shottenkirk Automotive Group Inc.,27,TX,https://shottenkirk.com
Balise Motor Sales Co.,26,MA,https://baliseauto.com
Hertrich Family of Auto Dealerships,26,DE,https://hertrichs.com
Morrie’s Automotive Group,26,MN,https://morries.com
Safford Automotive Group,26,VA,https://saffordauto.com
Bob Johnson Auto Group,25,NY,https://bobjohnsonautogroup.com
Napleton Auto Group,25,IL,https://shopnapleton.com
Rohrman Automotive Group,25,IN,https://rohrman.com
Serra Automotive Group,25,AL,https://serraautomotive.com
Sheehy Auto Stores,25,VA,https://sheehy.com
Jeff Wyler Automotive Family Inc.,24,OH,https://wyler.com
Boucher Auto Group,23,WI,https://boucher.com
Carter Myers Automotive,23,VA,https://cmacars.com
Gettel Automotive,23,FL,https://gettel.com
Open Road Auto Group,23,NJ,https://openroad.com
Phil Long Dealerships,23,CO,https://phillong.com
Russ Darrow Group Inc.,23,WI,https://russdarrow.com
Betten Baker Auto Group,22,MI,https://bettenbaker.com
Chapman Automotive Group,22,AZ,https://chapmanchoice.com
Gilchrist Automotive,22,TX,https://gilchristautomotive.com
Murgado Automotive Group,22,FL,https://murgadoautomotivegroup.com
Blaise Alexander Family Dealerships,21,PA,https://blaisealexander.com
Germain Motor Co.,21,OH,https://germaincars.com
Sames Automotive Group,21,TX,https://samesauto.com
Baxter Auto Group,20,NE,https://baxterauto.com
Empire Automotive Group,20,NY,https://shopempireauto.com
Feldman Automotive Group,20,MI,https://feldmanautomotive.com
Ferman Automotive Group,20,FL,https://ferman.com
Fitzgerald Auto Malls,20,MD,https://fitzmall.com
Kahlig Auto Group,20,TX,https://kahligauto.com
Pohanka Automotive Group,20,VA,https://pohanka.com
Young Automotive Group,20,UT,https://youngautomotive.com
Fletcher Jones Automotive Group,19,NV,https://fletcherjones.com
Anderson Automotive Group,18,NC,https://andersonautomotivegroup.com
Brandon Steven Motors,18,KS,https://BrandonStevenMotors.com
Performance Automotive Network,18,OH,https://performanceautomotive.com
Summit Automotive Partners,18,CO,https://summit-ap.com
Bommarito Automotive Group,17,MO,https://bommarito.com
Byers Automotive Group,17,OH,https://byersauto.com
Cavender Auto Family,17,TX,https://cavenderautofamily.com
Corwin Automotive Group,17,ND,https://corwinauto.com
Del Grande Dealer Group,17,CA,https://dgdg.com
Krause Auto Group,17,GA,https://krausefamilyford.com
Mac Haik Auto Group,17,TX,https://machaik.com
Martin Management Group,17,KY,https://martingp.com
Nouri/Shaver Automotive Group,17,CA,
Ray Skillman Auto Group,17,IN,https://rayskillman.com
Tuttle-Click Automotive Group,17,CA,https://tuttleclick.com
Bob Moore Auto Group,16,OK,https://bobmoore.com
Envision Motors,16,CA,https://envisionmotors.com
Preston Automotive Group,16,MD,https://prestonmotor.com
Wilson Automotive,16,CA,https://wilsonautomotive.com
Bob Loquercio Auto Group,15,IL,https://blautogroup.com
Cooper Auto Group,15,OK,https://cooperautogroup.com
Earnhardt Auto Centers,15,AZ,https://earnhardt.com
Matthews Auto Group,15,NY,https://matthewsauto.com
Price Family Dealerships,15,CA,https://pricefamilydealerships.com
The CAR Group,15,TX,https://thecargroup.com
Castle Automotive Group,14,IL,https://castlecars.com
Huffines Auto Dealerships,14,TX,https://huffines.net
Kenwood Dealer Group Inc.,14,OH,https://cincyautos.com
Phil Smith Automotive Group,14,FL,https://philsmithauto.com
Potamkin Automotive Group Inc.,14,FL,https://potamkin.com
Sullivan Automotive Group,14,CA,https://lacarguy.com
Bobby Rahal Automotive Group,13,PA,https://bobbyrahal.com
Fletcher Auto Group,13,AR,https://fletcherauto.com
Future Automotive Group,13,CA,https://futureautomotivegroup.com
Hiley Automotive Group,13,TX,https://hileycars.com
Kody Holdings,13,MD,
Rosenthal Automotive Organization,13,VA,https://rosenthalauto.com
Rusnak Auto Group,13,CA,https://rusnakonline.com
Wallace Automotive Group,13,FL,https://wallaceautogroup.net
Demontrond Automotive Group,12,TX,https://demontrond.com
Lou Fusz Automotive Network Inc.,12,MO,https://fusz.com
Ray Catena Auto Group,12,NJ,https://raycatena.com
Rick Case Automotive Group,12,FL,https://rickcase.com
American Motors Group,11,CA,https://stevenscreekvw.com
Ancira Enterprises,11,TX,https://ancira.com
Dobbs Family Automotive,11,TN,https://dobbsequity.com
Gillman Cos.,11,TX,https://gillmanauto.com
Nielsen Automotive Group,11,NJ,https://nielsenautos.com
Bowers Automotive Group,10,TN,https://bowersag.com
Curry Automotive,10,NY,https://curryauto.com
Golling Automotive Group,10,MI,https://golling.com
Mullinax Automotive,10,FL,https://mullinaxford.com
Bayway Auto Group Inc.,9,TX,https://baywayautogroup.com
Car Pros Automotive Group,9,WA,https://carpros.com
Criswell Automotive,9,MD,https://criswellauto.com
Great Lakes Auto Group,9,OH,https://glakesautogroup.com
Healey Brothers Automotive Group,9,NY,https://HealeyBrothers.com
Holler-Classic Automotive Group,9,FL,https://hollerclassic.com
McCombs Automotive,9,TX,https://redmccombs.com
Principle Auto Group,9,TX,https://principleauto.com
Bomnin Automotive Group,8,FL,https://Bomnin.com
Galpin Motors Inc.,7,CA,https://galpin.com
Kelly Automotive Group,7,MA,https://kellyauto.com
Page Autos,7,FL,https://coralspringsautomall.com
Rosatti/Plaza Auto Group,7,NY,https://plazaautomall.com
Gunn Automotive Group,6,TX,https://gunnauto.com
Peterson Auto Group,6,ID,https://petersoncars.com
Romano Auto Dealerships,6,NY,https://romanocars.com
Sam Pack Automotive Group,6,TX,https://sampack.com
Shelly Automotive Group,6,CA,https://shellyautomotive.com
World Class Automotive Group,6,TX,https://planetford.com
Headquarter Automotive,4,FL,https://headquarterauto.com
One Automotive,3,CA,https://oneautomotive.com
