Name,Sites,Headquarters,Website
Mavis,2029,NY,https://mavis.com
Monro,1299,NY,https://corporate.monro.com
Discount Tire,1137,MI,https://discounttire.com
Les Schwab,463,OR,https://lesschwab.com
Sun Auto (LGP),424,CA,https://sun.auto
Tire Discounters,204,OH,https://tirediscounters.com
Big Brand Tire & Service,202,CA,https://bigbrandtire.com
Southern Tire Mart,178,MS,https://stmtires.com
Belle Tire Distributors,177,MI,https://belletire.com
Pomp's Tire Service,141,WI,https://pompstire.com
Rent-a-Wheel/Rent-a-Tire,124,CA,https://rentawheel.com
Big O & Midas - TBC Corporation (“TBC”),123,FL,https://tbccorp.com
Sullivan Tire,92,MA,https://sullivantire.com
Snider,80,NC,https://sniderfleet.com
Purcell,78,MO,https://purcelltire.com
McCarthy Tire Service,72,PA,https://mccarthytire.com
VIP Tires & Service,67,ME,https://vipauto.com
Black's,55,NC,https://blackstire.com
StraightAway Tire & Auto,54,NC,https://gostraightaway.com
Nebraskaland Tire,53,NE,https://thetirestore.com
Peerless Tyres,52,CO,https://peerlesstyreco.com
Service Tire Truck Centers,52,PA,https://sttc.com
Commercial Tire,49,ID,https://commercialtire.com
Bergey's Tire,44,PA,https://bergeystire.com
Dobbs Tire & Auto Centers,43,MO,https://gotodobbs.com
Gill's Point S Tire & Auto Service,43,OR,https://gillspointstire.com
Texas Tires,43,TX,https://texastires9.com
Tire-Rama (The Tire Guys Inc.),42,MT,https://tirerama.com
Gateway Tire & Service (Dunlap & Kyle),40,TN,https://dktire.com
Conrad's,38,OH,https://econrads.com
Steve Shannon Tire Co. Inc,38,NY,https://steveshannon.com
Boulevard Tire Center (Earl W. Colvard),37,FL,https://boulevardtire.com
Bauer Built Tire & Service,35,WI,https://bauerbuilt.com
MFA Oil Co.,35,MO,https://mfaoil.com
Discount Tire Centers (AKH Co.),34,AZ,https://discounttirecenters.com
Colony Tire,31,VA,https://colonytire.com
Flynn's Tire Group,31,PA,https://flynnstire.com
Northern Rock Automotive,30,GA,https://nrockusa.com
RNR Custom Wheels and Performance Tires (Rental Concepts LLC),29,FL,https://rnrtires.com
Heartland Tire,28,MN,https://heartlandtireservice.com
Kost Tire Distributors,28,PA,https://kosttirepa.com
T&W Tire,28,OK,https://tandwtire.com
Ziegler Tire,28,OH,https://zieglertire.com
Goodturn Tire & Auto,27,FL,https://goodturnauto.com
Grimser Tire Co,27,OH,https://grismertire.com
Dunn Tire,26,NY,https://dunntire.com
Neal Tire and Auto Service (Ben Tire Distributors),26,IL,https://nealtire.com
Big O Tires (SF Tire and Service Central),25,FL,https://bigotires.com
RNR Tire Express (SPF Mgt Co),24,MS,https://rnrtires.com
Southern Indiana Tire,24,IN,https://bestonetire.com
Pete's Tire Barns Inc.,23,MA,https://petestire.com
Jack Furrier Tire & Auto Care,22,AZ,https://jackfurriers.com
Jensen Tire & Auto,21,OK,https://jensentireandauto.com
RNR Tires Expresss,21,MS,https://rnrtires.com
Burt Brothers Tire & Service Inc.,20,UT,https://burtbrothers.com
Northwest Tire Inc.,20,ND,https://nwtire.com
Telle Tire & Auto Service Inc.,20,MO,https://telletire.com
Chabill's Tire & Auto Service,19,LA,https://chabillstire.com
RNR Tire Express (Summit Capital Partners Automotive Services LP),19,MS,https://rnrtires.com
Farmer's Co-Op,18,AR,https://farmercoop.com
Graham Tire Co.,18,SD,https://grahamtire.com
CJ's Tire & Automotive Inc.,17,PA,https://cjtire.com
Golden West Tire Centers LLC (DBA - Big O Tires),17,CA,https://goldenwesttires.com
Indy Tire Centers (DBA - Best-One of Indy),17,IN,https://bestoneindy.com
Katz Tire & Wheel,17,OH,https://katztires.com
Perfection Tire & Auto Repair,17,WA,https://perfectiontire.com
Virginia Tire & Auto,17,VA,https://vatire.com
Central Arizona Automotive Group (DBA - Big O Tires),16,AZ,https://bigotires.com
Gulf Coast L&P Inc. (DBA - RNR Tire Express),16,MS,https://rnrtires.com
Jack's Tire and Oil Management Co. Inc.,16,UT,https://jackstireandoil.com
K&W Tire Co. Inc,16,PA,https://kwtire.com
"Southside Tire (DBA - Southside Tire, Garrett Tires & Treads, Platte Retreaders)",16,WI,https://southsidetire.com
St. Lucie Battery & Tire Co.,16,FL,https://slbattery.com
Custom Bandag Inc.,15,NJ,https://custombandag.com
Daniels Tire Service Inc.,15,CA,https://danielstireservice.com
East Bay Tire Co.,15,CA,https://eastbaytire.com
Holyoke Tire Group,15,MA,https://springfieldtire.net
P.R. Walker Inc (DBA - Tire Tracks USA),15,IL,https://tiretracksusa.com
Valley Tire Co. Inc.,15,PA,https://valleytireco.com
Warren Tire Service Center Inc.,15,NY,https://warrentiresvc.com
Wm. J. Cassidy Tire & Auto Supply Co. (DBA - Cassidy Tire & Service),15,IL,https://cassidytire.com
S&S Firestone (DBA - S&S Tire),14,KY,https://sstire.com
TTY Inc (DBA - Best Tire Center and Tires to You),14,TX,https://besttire.com
Wonderland Tire Co.,14,MI,https://wonderlandtire.com
Action Tire Co.,13,GA,https://actiontireco.com
Dan Callaghan Enterprises (DBA - Callaghan's Best-One),13,FL,https://callaghantire.com
King Tire Service Inc.,13,VA,https://kingtireservice.com
Meekhoff Tire Sales & Service Inc.,13,MI,https://meekhofftire.com
Robertson Tire Co. Inc.,13,OK,https://robertson-tire.com
Shrader Tire & Oil Co.,13,OH,https://shradertireandoil.com
Stratham Tire LLC,13,NH,https://stathamtire.com
Van's Auto Service & Tire Pros,13,OH,https://vanstirepros.com
Adirondack Tire & Service Co.,12,NY,https://adirondacktire.com
Barnwell House of Tires,12,NY,https://barnwelltire.com
Bruneel Point S Auto & Tire,12,ID,https://bruneel.com
Clark Tire Co.,12,MO,https://clarkstireco.com
McGriff Tire Co. (DBA - McGriff Tire Pros and McGriff Tire),12,AL,https://mcgrifftirepros.com
"Mock Beroth Tire, Inc. (DBA - Mock Beroth Tire  & Automotive)",12,NC,https://mockberothtire.com
Parkhouse Tire Inc.,12,CA,https://parkhousetire.com
Youngstedts Co.,12,MN,https://youngstedts.com
Appalachian Tire Products,11,WV,https://apptire.com
Chapel Hill Tire,11,NC,https://chapelhilltire.com
Donald B. Rice Tire Co. (DBA - Rice Tire),11,MD,https://ricetire.com
F&F Tire & Service Co. (DBA - F&F Tire World and Service Center),11,WI,https://tiredeals.com
Pueblo Tires Ltd. (DBA - Pueblo Tires & Service),11,TX,https://pueblotires.com
Ted Wiens Tire & Auto Centers,11,NV,https://tedwiens.com
Western Automotive Ventures Inc. (DBA - Big O Tires),11,NV,https://bigotires.com
